name,type,events,total_artists,notable_artists,is_target
Freedonia,venue,56,107,30,True
ZAMNA.EU,promoter,3,30,30,True
Forum Station,venue,88,188,29,True
Glitch Club,venue,18,44,28,True
78|33,promoter,74,155,28,True
GLITCH Dance Club,promoter,18,44,28,True
AUDIODISE,promoter,18,45,28,True
borisclub,promoter,66,57,28,True
Ombra Festival,promoter,7,36,27,True
Opium Barcelona,venue,28,45,26,True
Switch Bar,venue,218,147,25,True
Multi-Venue Event - Fabra i Coats and Vall D'hebron Olympic Pavilion,venue,4,29,25,True
Les Tres Xemeneies,venue,4,32,25,True
Yoyaku,promoter,4,37,25,True
G Spot Club,venue,143,102,23,True
Gspotclub,promoter,133,98,23,True
Club Sauvage,venue,93,98,22,True
Elektronic Delight,promoter,13,36,22,True
OFFSónar,promoter,9,24,22,True
Atlantic Club,venue,26,50,21,True
Circuit de Barcelona - Catalunya,venue,2,21,21,True
Parc de la Trinitat,venue,8,32,21,True
TheRootsEvent,promoter,11,31,21,True
Regia,promoter,21,43,21,True
TRANCE NXC,promoter,9,42,21,True
Afterlife,promoter,2,21,21,True
AF logistics,promoter,2,21,21,True
Circuit-Barcelona,promoter,2,21,21,True
TBA - secret location,venue,42,110,20,True
Antigua Fábrica Enmasa Mercedes-Benz,venue,5,22,20,True
Jackies,promoter,11,24,20,True
BAHN·,promoter,4,30,20,True
ZT Hotel Villa Olimpica,venue,4,22,19,True
Organic Signs,promoter,3,34,19,True
checkpoint ■,promoter,19,45,19,True
ESCANDALO,promoter,3,27,19,True
Paral·lel Festival,promoter,4,21,19,True
Mira Festival,promoter,2,26,19,True
La Nau,venue,23,34,18,True
PINKCLOUD,promoter,8,32,18,True
MUSA,promoter,6,36,18,True
Fury,promoter,8,21,18,True
Casa Montjuïc & Vall d'Hebron Olympic Pavilion,venue,4,24,17,True
tINI and the gang,promoter,3,21,17,True
Go Beach Club,promoter,7,23,17,True
CDLC Barcelona,venue,56,45,16,True
Montmelo,venue,3,18,16,True
Port del Comte,venue,3,17,16,True
Me siento extraña,promoter,7,33,16,True
Punto Cuántico,promoter,3,23,16,True
The Society,promoter,10,25,16,True
LATINEO,promoter,8,25,16,True
PIV,promoter,4,19,16,True
OFFWEEK WAREHOUSE AIE,promoter,3,17,16,True
LA ASO BY KINETICS,promoter,11,25,16,True
Garage 442,venue,191,150,15,True
G Spot,promoter,61,55,15,True
SUW -Side UP Works-,promoter,22,45,15,True
Happy Techno Music,promoter,10,22,15,True
Beeyou Records,promoter,1,15,15,True
Limousine Dream,promoter,1,15,15,True
microdosis,promoter,15,16,14,True
Fake Out!,promoter,10,36,14,True
LOST BCN,promoter,34,72,14,True
Razzmatazz 3,venue,11,16,13,True
Purobeach Barcelona,venue,31,28,13,True
"Dance, Shake, Swing!",promoter,10,29,13,True
SecretGarden.bcn,promoter,38,60,13,True
MARICAS,promoter,3,19,13,True
OFF,promoter,20,24,13,True
Valhalla,promoter,10,26,13,True
Praxis Barcelona,promoter,4,25,13,True
DROP Dance Society,promoter,8,29,13,True
Herrensauna,promoter,3,22,13,True
Machine,promoter,1,20,13,True
DEMBOOTY,promoter,2,25,13,True
Soul Feeder,promoter,2,22,13,True
Sala Recreo,venue,240,73,12,True
Absenta del Raval,venue,185,98,12,True
Downtown Barcelona,venue,5,23,12,True
TheSupermercat,promoter,426,135,12,True
Medio Crew,promoter,18,37,12,True
Rotary,promoter,7,24,12,True
No Tags,promoter,5,39,12,True
Mad Radio Barcelona,promoter,8,30,12,True
Casa Montjuïc,venue,13,14,11,False
Hotel El Bruc,venue,2,17,11,False
O V E R T O N E,promoter,12,23,11,False
Simple Times (House),promoter,15,26,11,False
Modern Funktion,promoter,2,15,11,False
Secret-Sessions,promoter,3,15,11,False
Moxy Muzik,promoter,2,14,11,False
Fuse London,promoter,1,12,11,False
POLYGLOT,promoter,4,20,11,False
Alta Fidelidad,promoter,8,24,11,False
Teletech,promoter,1,14,11,False
WOLF Barcelona,venue,6,13,10,False
TBA - SECRET OFF BEACH OASIS,venue,2,14,10,False
SmallBlackDots,promoter,8,27,10,False
garage442,promoter,81,59,10,False
NXXT KOLLEKTIV,promoter,6,17,10,False
78l33,promoter,9,27,10,False
Príncipe Discos,promoter,1,13,10,False
TraTraTrax,promoter,1,13,10,False
Kaluki Promotion Ltd,promoter,1,11,10,False
Kaluki,promoter,1,11,10,False
Atlantic Sound,venue,12,26,9,False
La Daurada Beach Club,venue,5,14,9,False
TBA - TERMINAL SABADELL,venue,2,11,9,False
UNREC,promoter,16,28,9,False
ElBassline,promoter,13,27,9,False
GLOVE PARTY,promoter,15,29,9,False
Playground Records,promoter,13,26,9,False
Bünker,promoter,9,22,9,False
RestlessMusic,promoter,6,21,9,False
VERKNIPT,promoter,2,10,9,False
fabric,promoter,1,9,9,False
Metamorfosi,promoter,2,9,9,False
24Seven Records,promoter,6,21,9,False
Andami,promoter,5,23,9,False
The Supermercat Gotico,venue,225,83,8,False
